time	V(n003)	V(n004)
4.374975691328129e-003	-3.570503e+000	7.065493e-001
4.394506941328129e-003	-3.116737e+000	6.147730e-001
4.414038191328128e-003	-2.616014e+000	5.137499e-001
4.433569441328128e-003	-2.075867e+000	4.049995e-001
4.453100691328127e-003	-1.504421e+000	2.901576e-001
4.472631941328127e-003	-9.102681e-001	1.709514e-001
4.492163191328127e-003	-3.023469e-001	4.917391e-002
4.511694441328126e-003	3.101997e-001	-7.334317e-002
4.531225691328126e-003	9.181585e-001	-1.947571e-001
4.550756941328125e-003	1.512385e+000	-3.132417e-001
4.570288191328125e-003	2.083942e+000	-4.270148e-001
4.589819441328124e-003	2.624233e+000	-5.343653e-001
4.609350691328124e-003	3.125130e+000	-6.336784e-001
4.628881941328124e-003	3.579100e+000	-7.234604e-001
4.648413191328123e-003	3.979315e+000	-8.023609e-001
4.667944441328123e-003	4.319754e+000	-8.691931e-001
4.687475691328122e-003	4.595298e+000	-9.229518e-001
4.707006941328122e-003	4.801800e+000	-9.628285e-001
4.726538191328122e-003	4.936156e+000	-9.882234e-001
4.746069441328121e-003	4.996346e+000	-9.987544e-001
4.765600691328121e-003	4.981462e+000	-9.942633e-001
4.785131941328120e-003	4.891730e+000	-9.748175e-001
4.804663191328120e-003	4.728498e+000	-9.407095e-001
4.824194441328119e-003	4.494225e+000	-8.924524e-001
4.843725691328119e-003	4.192430e+000	-8.307720e-001
4.863256941328119e-003	3.827657e+000	-7.565960e-001
4.882788191328118e-003	3.405389e+000	-6.710401e-001
4.902319441328118e-003	2.931979e+000	-5.753911e-001
4.921850691328117e-003	2.414547e+000	-4.710878e-001
4.941381941328117e-003	1.860876e+000	-3.596988e-001
4.960913191328117e-003	1.279294e+000	-2.428996e-001
4.980444441328116e-003	6.785468e-001	-1.224469e-001
4.999975691328116e-003	6.767124e-002	-1.525920e-004
5.019506941328115e-003	-5.441450e-001	1.221441e-001
5.039038191328115e-003	-1.147700e+000	2.426035e-001
5.058569441328114e-003	-1.733915e+000	3.594140e-001
5.078100691328114e-003	-2.293974e+000	4.708186e-001
5.097631941328114e-003	-2.819452e+000	5.751416e-001
5.117163191328113e-003	-3.302445e+000	6.708140e-001
5.136694441328113e-003	-3.735689e+000	7.563967e-001
5.156225691328112e-003	-4.112668e+000	8.306025e-001
5.175756941328112e-003	-4.427710e+000	8.923152e-001
5.195288191328112e-003	-4.676077e+000	9.406067e-001
5.214819441328111e-003	-4.854034e+000	9.747506e-001
5.234350691328111e-003	-4.958904e+000	9.942334e-001
5.253881941328110e-003	-4.989110e+000	9.987619e-001
5.273413191328110e-003	-4.944196e+000	9.882681e-001
5.292944441328109e-003	-4.824840e+000	9.629099e-001
5.312475691328109e-003	-4.632836e+000	9.230686e-001
5.332006941328109e-003	-4.371073e+000	8.693435e-001
5.351538191328108e-003	-4.043488e+000	8.025427e-001
5.371069441328108e-003	-3.655008e+000	7.236708e-001
5.390600691328107e-003	-3.211475e+000	6.339143e-001
5.410131941328107e-003	-2.719563e+000	5.346231e-001
5.429663191328107e-003	-2.186668e+000	4.272907e-001
5.449194441328106e-003	-1.620807e+000	3.135315e-001
5.468725691328106e-003	-1.030490e+000	1.950564e-001
5.488256941328105e-003	-4.245956e-001	7.364752e-002
5.507788191328105e-003	1.877628e-001	-4.886910e-002
5.527319441328104e-003	7.973748e-001	-1.706507e-001
5.546850691328104e-003	1.395072e+000	-2.898655e-001
5.566381941328104e-003	1.971863e+000	-4.047205e-001
